origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
ORD,SLN,UA 5108,UAL,OO 5108,SKW,2025-11-24 16:55:00,Arr 1856,2025-11-24,False
SLN,DEN,UA 5109,UAL,OO 5109,SKW,2025-11-24 06:30:00,Arr 0649,2025-11-24,False
IAH,PIB,UA 5110,UAL,OO 5110,SKW,2025-11-24 12:56:00,Arr 1451 (+32min),2025-11-24,False
DEN,LBL,UA 5111,UAL,OO 5111,SKW,2025-11-24 07:55:00,Arr 1000,2025-11-24,False
SHR,DEN,UA 5111,UAL,OO 5111,SKW,2025-11-24 05:15:00,Arr 0632,2025-11-24,False
DVL,DEN,UA 5112,UAL,OO 5112,SKW,2025-11-24 18:10:00,Arr 1859,2025-11-24,False
DEN,SGU,UA 5113,UAL,OO 5113,SKW,2025-11-24 11:15:00,Arr 1253,2025-11-24,False
DEN,LBL,UA 5114,UAL,OO 5114,SKW,2025-11-24 16:20:00,Arr 1825,2025-11-24,False
DDC,DEN,UA 5115,UAL,OO 5115,SKW,2025-11-24 11:06:00,Arr 1124,2025-11-24,False
DEN,DDC,UA 5115,UAL,OO 5115,SKW,2025-11-24 07:46:00,Arr 0942,2025-11-24,False
DEN,RKS,UA 5116,UAL,OO 5116,SKW,2025-11-24 12:10:00,Arr 1304,2025-11-24,False
LAX,SGU,UA 5117,UAL,OO 5117,SKW,2025-11-24 13:25:00,Arr 1540,2025-11-24,False
LAR,DEN,UA 5118,UAL,OO 5118,SKW,2025-11-24 18:27:00,Arr 1921,2025-11-24,False
FOD,ORD,UA 5119,UAL,OO 5119,SKW,2025-11-24 10:05:00,Arr 1129,2025-11-24,False
DEN,EAR,UA 5120,UAL,OO 5120,SKW,2025-11-24 12:23:00,Arr 1428,2025-11-24,False
EAU,ORD,UA 5121,UAL,OO 5121,SKW,2025-11-24 05:00:00,Arr 0557,2025-11-24,False
ORD,FOD,UA 5121,UAL,OO 5121,SKW,2025-11-24 07:45:00,Arr 0918,2025-11-24,False
